Sample,Location,Depth,DepthGroup,Month
BH0532C,Inside,32.3,Shallow,May
BH0546M,Inside,46.3,Middle,May
BH0561M,Inside,61,Middle,May
BH05106M,Inside,106,Deep,May
BH057M,Above,7.6,Shallow,May
BH0515MA,Above,15.2,Shallow,May
BH0523M,Above,22.9,Shallow,May
BH0585M,Inside,85,Deep,May
BH0560M,Inside,60,Middle,May
BH0530M,Above,30,Shallow,May
BH050M,Above,0,Shallow,May
BH0910M,Above,10,Shallow,September
BH0920M,Above,20,Shallow,September
BH0930M,Above,30,Shallow,September
BH0940M,Inside,40,Middle,September
BH0950M,Inside,50,Middle,September
BH0960M,Inside,60,Middle,September
BH0970M,Inside,70,Middle,September
BH0980M,Inside,80,Deep,September
BH0985M,Inside,85,Deep,September
BH0990M,Inside,90,Deep,September
BH0995M,Inside,95,Deep,September